priority,ticker,name,current_status,recovery_class,can_be_normal_a_without_rule_change,main_blocker,missing_or_failed_gate,d20_excess_pct,expected_value_pct,risk_score,next_action,reason_for_client
74,9433.T,KDDI,A補完枠（通常Aではない）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,リスク:防御枠 / 期待値:防御枠,3.31,0.5,75.5,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
75,2503.T,キリンHD,A補完枠（通常Aではない）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,リスク:防御枠 / 期待値:防御枠,6.02,0.33,70.4,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
76,7011.T,三菱重工,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-19.87,14.44,47.2,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
77,8058.T,三菱商事,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-19.53,14.22,56.5,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
78,8053.T,住友商事,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-14.91,13.46,53.1,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
79,8031.T,三井物産,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証 / 質的根拠:補助,-29.57,11.06,47.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
80,8002.T,丸紅,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,-28.18,10.64,52.1,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
81,6501.T,日立製作所,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-13.12,8.97,47.4,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
82,1605.T,INPEX,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-12.81,8.96,50.9,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
83,7012.T,川崎重工業,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-16.63,6.72,43.6,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
84,2802.T,味の素,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-4.15,6.42,57.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
85,8725.T,MS&AD,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-13.79,6.33,61.1,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
86,5020.T,ENEOS HD,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証,-9.56,6.25,60.4,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
87,8001.T,伊藤忠商事,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,-21.4,5.97,63.4,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
88,1812.T,鹿島,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-14.41,5.9,52.5,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
89,1802.T,大林組,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-17.52,5.64,55.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
90,1801.T,大成建設,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-20.1,5.4,43.8,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
91,1803.T,清水建設,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-33.87,4.42,53.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
92,5019.T,出光興産,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,イベント反応:反証 / 信頼度:不足,-8.21,3.65,56.8,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
93,6301.T,コマツ,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-17.34,2.59,53.4,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
94,6702.T,富士通,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-15.39,1.81,44.8,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
95,4519.T,中外製薬,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,-20.79,1.53,51.7,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
96,9766.T,コナミグループ,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,-3.2,1.18,43.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
97,7202.T,いすゞ自動車,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,-7.42,0.6,56.3,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
98,9697.T,カプコン,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,-14.39,0.52,36.7,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
99,9434.T,ソフトバンク,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,-6.18,0.36,76.1,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
100,6201.T,豊田自動織機,通常A不可（イベント反証）,反証あり・通常Aに上げない,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,-11.56,0.24,51.4,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,数字が良くても、イベント後に指数を明確に下回ったため、現時点では買付根拠にしない。
