rank,ticker,name,portfolio_status,expected_value_pct,raw_expected_value_pct,ev_confidence_pct,data_completion_pct,up_probability_pct,upside_pct,down_probability_pct,downside_pct,cost_pct,formula,inputs,ev_confidence_reason,calculation_note,data_gate
50,4502.T,武田薬品,除外,0.72,1.06,67.7,71.7,58.3,8.2,41.7,8.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 11.3 / 10年CAGR 5.0 / 直近1年 26.2 / 最大下落 -14.1,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
51,6701.T,NEC,除外,3.78,6.51,58.1,55.7,59.1,23.2,40.9,16.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 34.0 / 10年CAGR 25.2 / 直近1年 9.9 / 最大下落 -39.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.85,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
52,6201.T,豊田自動織機,除外,0.24,0.42,57.6,55.1,57.5,14.9,42.5,18.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 18.5 / 10年CAGR 18.2 / 直近1年 14.5 / 最大下落 -12.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
53,5108.T,ブリヂストン,除外,-0.02,-0.03,57.6,55.1,58.0,8.7,42.0,11.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.4 / 10年CAGR 9.9 / 直近1年 13.7 / 最大下落 -15.4,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
54,2503.T,キリンHD,除外,0.33,0.58,57.6,55.1,58.5,8.2,41.5,9.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 7.8 / 10年CAGR 6.8 / 直近1年 35.8 / 最大下落 -12.8,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
55,7202.T,いすゞ自動車,除外,0.6,1.03,57.6,55.1,58.2,10.4,41.8,11.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 13.4 / 10年CAGR 9.4 / 直近1年 23.9 / 最大下落 -25.9,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
56,6702.T,富士通,除外,1.81,3.12,58.1,55.7,59.2,15.6,40.8,13.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 15.7 / 10年CAGR 24.9 / 直近1年 7.5 / 最大下落 -33.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.85,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
57,4519.T,中外製薬,除外,1.7,2.57,66.1,62.6,57.8,14.1,42.2,12.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 15.7 / 10年CAGR 21.7 / 直近1年 6.9 / 最大下落 -28.8,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
58,1925.T,大和ハウス工業,除外,-0.41,-0.71,57.6,55.1,56.5,6.5,43.5,9.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.3 / 10年CAGR 6.8 / 直近1年 -8.0 / 最大下落 -21.8,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
59,9020.T,JR東日本,除外,-1.14,-1.98,57.6,55.1,57.0,5.0,43.0,10.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 7.9 / 10年CAGR 2.0 / 直近1年 15.4 / 最大下落 -18.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
60,3402.T,東レ,除外,-0.6,-1.05,57.6,55.1,57.0,7.2,43.0,11.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 11.8 / 10年CAGR 3.9 / 直近1年 15.5 / 最大下落 -21.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
61,4188.T,三菱ケミカルG,除外,-0.02,-0.02,60.5,58.0,58.5,10.9,41.5,14.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 8.0 / 10年CAGR 10.9 / 直近1年 51.8 / 最大下落 -25.4,財務0.64 / イベント0.55 / 質的0.72 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
62,4503.T,アステラス製薬,除外,-1.21,-2.1,57.6,55.1,57.8,9.8,42.2,17.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 7.8 / 10年CAGR 6.8 / 直近1年 57.7 / 最大下落 -20.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
63,6326.T,クボタ,除外,-0.7,-1.21,57.6,55.1,58.9,10.4,41.1,16.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 4.2 / 10年CAGR 7.8 / 直近1年 83.3 / 最大下落 -25.2,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
64,7203.T,トヨタ自動車,除外,-0.68,-1.01,67.7,71.7,57.8,11.7,42.2,17.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 13.8 / 10年CAGR 13.7 / 直近1年 18.7 / 最大下落 -26.8,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
65,9766.T,コナミグループ,除外,1.18,2.04,57.6,55.1,56.9,16.0,43.1,15.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 24.2 / 10年CAGR 18.1 / 直近1年 -3.4 / 最大下落 -30.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
66,7267.T,ホンダ,除外,-1.73,-3.0,57.6,55.1,56.4,6.5,43.6,14.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 8.9 / 10年CAGR 7.2 / 直近1年 5.8 / 最大下落 -24.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
67,7532.T,パン・パシフィック,除外,-0.68,-1.19,57.6,55.1,56.1,12.3,43.9,17.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 14.9 / 10年CAGR 18.0 / 直近1年 -6.1 / 最大下落 -26.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
68,6526.T,ソシオネクスト,除外,-2.36,-4.1,57.6,55.1,56.1,18.1,43.9,31.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 40.5 / 10年CAGR 0.0 / 直近1年 26.0 / 最大下落 -50.4,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
69,9697.T,カプコン,除外,0.52,0.9,57.6,55.1,56.0,14.8,44.0,16.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 13.5 / 10年CAGR 27.0 / 直近1年 -27.2 / 最大下落 -38.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
70,4005.T,住友化学,除外,-2.16,-3.76,57.6,55.1,58.1,8.5,41.9,19.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.1 / 10年CAGR 4.9 / 直近1年 79.5 / 最大下落 -22.4,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
71,6758.T,ソニーグループ,除外,-0.95,-1.41,67.7,71.7,57.0,10.8,43.0,16.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.0 / 10年CAGR 19.5 / 直近1年 -9.1 / 最大下落 -33.5,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
72,9202.T,ANA HD,除外,-2.57,-4.46,57.6,55.1,55.9,1.4,44.1,11.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.8 / 10年CAGR 0.0 / 直近1年 3.8 / 最大下落 -21.8,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
73,6273.T,SMC,除外,-3.47,-6.02,57.6,55.1,57.5,6.6,42.5,22.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.0 / 10年CAGR 10.7 / 直近1年 27.2 / 最大下落 -23.4,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
74,6902.T,デンソー,除外,-3.33,-5.78,57.6,55.1,57.5,4.0,42.5,18.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.5 / 10年CAGR 8.5 / 直近1年 0.8 / 最大下落 -19.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
75,2801.T,キッコーマン,除外,-3.4,-5.62,60.5,58.0,56.4,3.1,43.6,16.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 0.4 / 10年CAGR 7.0 / 直近1年 7.2 / 最大下落 -14.3,財務0.64 / イベント0.55 / 質的0.72 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
76,4452.T,花王,除外,-3.52,-5.82,60.5,58.0,56.1,0.8,43.9,13.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 0.3 / 10年CAGR 2.0 / 直近1年 -6.0 / 最大下落 -15.4,財務0.64 / イベント0.55 / 質的0.72 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
77,6645.T,オムロン,除外,-6.5,-11.29,57.6,55.1,56.3,3.2,43.7,29.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -7.0 / 10年CAGR 6.3 / 直近1年 50.7 / 最大下落 -22.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
78,9022.T,JR東海,除外,-2.98,-5.18,57.6,55.1,55.6,1.6,44.4,12.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.0 / 10年CAGR -0.2 / 直近1年 11.3 / 最大下落 -27.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
79,2432.T,ディー・エヌ・エー,除外,-4.15,-7.2,57.6,55.1,55.4,3.4,44.6,19.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 5.5 / 10年CAGR 3.5 / 直近1年 -0.2 / 最大下落 -21.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
80,7832.T,バンダイナムコHD,除外,-0.85,-1.48,57.6,55.1,55.7,9.8,44.3,14.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 9.1 / 10年CAGR 17.6 / 直近1年 -19.8 / 最大下落 -35.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
81,4385.T,メルカリ,除外,-7.47,-11.82,63.2,59.7,57.7,3.7,42.3,32.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -5.0 / 10年CAGR 0.0 / 直近1年 71.5 / 最大下落 -27.1,財務0.64 / イベント0.76 / 質的0.55 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
82,2502.T,アサヒGHD,除外,-2.96,-5.15,57.6,55.1,55.4,1.3,44.6,12.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -0.5 / 10年CAGR 4.3 / 直近1年 -17.0 / 最大下落 -23.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
83,7270.T,SUBARU,除外,-3.91,-6.79,57.6,55.1,55.1,2.0,44.9,16.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 6.3 / 10年CAGR -1.6 / 直近1年 -2.6 / 最大下落 -34.9,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
84,4543.T,テルモ,除外,-2.96,-5.13,57.6,55.1,55.4,4.6,44.6,16.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 3.7 / 10年CAGR 8.9 / 直近1年 -10.7 / 最大下落 -31.3,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
85,9021.T,JR西日本,除外,-3.82,-6.63,57.6,55.1,54.9,0.0,45.1,13.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -1.2 / 10年CAGR -0.5 / 直近1年 -13.7 / 最大下落 -24.3,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
86,7974.T,任天堂,除外,-5.73,-7.82,73.3,76.3,53.0,5.4,47.0,21.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 3.3 / 10年CAGR 18.8 / 直近1年 -41.3 / 最大下落 -52.1,財務0.64 / イベント0.76 / 質的0.55 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
87,4911.T,資生堂,除外,-8.3,-14.4,57.6,55.1,54.2,0.0,45.8,30.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -18.9 / 10年CAGR -0.1 / 直近1年 19.9 / 最大下落 -26.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
88,8113.T,ユニ・チャーム,除外,-6.25,-10.85,57.6,55.1,53.9,0.0,46.1,22.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -7.3 / 10年CAGR 3.7 / 直近1年 -13.5 / 最大下落 -23.6,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
89,4568.T,第一三共,除外,-4.85,-8.43,57.6,55.1,53.8,5.9,46.2,24.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.7 / 10年CAGR 13.7 / 直近1年 -30.4 / 最大下落 -39.3,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
90,4751.T,サイバーエージェント,除外,-7.81,-13.55,57.6,55.1,53.5,0.0,46.5,28.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -8.6 / 10年CAGR 8.3 / 直近1年 -10.5 / 最大下落 -32.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
91,4523.T,エーザイ,除外,-8.05,-13.97,57.6,55.1,53.5,0.0,46.5,29.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -9.1 / 10年CAGR -3.0 / 直近1年 2.6 / 最大下落 -24.4,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
92,3092.T,ZOZO,除外,-4.86,-8.44,57.6,55.1,54.1,1.8,45.9,19.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -2.3 / 10年CAGR 7.8 / 直近1年 -34.8 / 最大下落 -35.2,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
93,3659.T,ネクソン,除外,-5.11,-8.87,57.6,55.1,53.2,2.7,46.8,21.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -2.0 / 10年CAGR 10.1 / 直近1年 -13.5 / 最大下落 -50.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
94,6594.T,ニデック,除外,-8.99,-14.23,63.2,59.7,54.1,0.0,45.9,30.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -15.1 / 10年CAGR 3.3 / 直近1年 -4.6 / 最大下落 -42.5,財務0.64 / イベント0.76 / 質的0.55 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
95,9843.T,ニトリHD,除外,-6.2,-10.76,57.6,55.1,53.4,0.0,46.6,22.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -7.1 / 10年CAGR 1.9 / 直近1年 -13.4 / 最大下落 -35.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
96,4661.T,オリエンタルランド,除外,-7.34,-12.74,57.6,55.1,52.8,0.0,47.2,26.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -7.0 / 10年CAGR 4.7 / 直近1年 -27.4 / 最大下落 -42.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
97,4755.T,楽天グループ,除外,-7.55,-13.1,57.6,55.1,53.2,0.0,46.8,27.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -10.1 / 10年CAGR -4.1 / 直近1年 -6.4 / 最大下落 -31.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
98,4689.T,LINEヤフー,除外,-7.02,-12.19,57.6,55.1,53.5,0.0,46.5,25.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR -3.4 / 10年CAGR -0.2 / 直近1年 -20.3 / 最大下落 -35.3,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
